sketch_id,change_score,color_count,entropy_score
khoparzi_3,1.6578237561104086,625785,4.671604443850314
malitzin_1,0.7506597110798413,500843,4.824096983087476
alexandre_1,1.1557528530420849,554332,2.257748253668307
mahalia_4,1.3738089304458272,30357,3.4642036779356977
example_4,3.2771278253428693,472835,3.0992832387425455
andromeda_0,0.649991762680351,648126,3.4084182467839628
example_17,1.3108826646656155,10760,5.807502276224777
celeste_1,4.638990548235547,52868,6.236816743395795
example_13,1.8300856727331334,1490736,4.781559837740585
alexandre_1,1.161314081949288,561596,2.2613138305921914
example_9,3.1705896160881686,213313,4.642749123260019
andromeda_1,2.498904183213545,285969,5.690528355745708
eerie_ear_0,0.94046281312221,315871,3.7876989641063177
khoparzi_2,2.7047942442699195,622728,4.359533252824805
ritchse_3,4.263017211866111,992619,6.060041633972975
marianne_1,0.6918074932528128,754366,4.213636680634656
malitzin_2,0.44192762566681826,82542,3.925147487064725
malitzin_0,1.648670692122959,19578,2.624523512304841
rangga_0,0.9014998705017364,600594,3.1017770774167217
marianne_0,1.563136241205094,31735,4.621696841695469
ritchse_0,0.6126568107244261,3756,0.6671477538015395
celeste_2,4.406968980793264,46600,4.847157521198975
ritchse_2,0.7917547249591624,138809,1.7882956725209969
asdrubal_0,0.5861898844415215,41184,3.6974888159146038
example_15,1.5134700451484289,141666,3.9550987539026266
mahalia_4,1.4552316956409996,30556,3.272664931244148
flor_0,2.562159129524034,1129,0.31913709595036716
marianne_0,1.576971427233848,31712,4.631440497478568
example_13,1.8562465802700363,1500302,4.77456565094733
ritchse_4,1.7161183534793105,351943,6.132200897794642
khoparzi_0,0.6634999719680849,48116,4.328485084314957
